,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,sensitivity,balanced_accuracy,mcc,brier_score,log_loss,ece,calibration_method,net_benefit_10pct,net_benefit_20pct
LogisticRegression,0.7205008106647451,0.7195072697899838,0.6751942391510328,0.6966467885423795,0.7822107436840252,0.7645877370547938,0.7615450643776824,0.6751942391510328,0.7183696517643576,0.4387689768785807,0.18894614908772167,0.5635861586246066,0.010324534068311126,isotonic,0.41734222062090914,0.3562646370023419
RandomForest,0.7440100882723834,0.7670541785479271,0.6626871328406292,0.7110614070760471,0.8121278916278513,0.7834801126730034,0.8176824034334764,0.6626871328406292,0.7401847681370528,0.48763370198727146,0.17518149605565067,0.5279571352902577,0.01221545777200545,isotonic,0.4190135911447387,0.3608809223563322
XGBoost,0.7421185372005045,0.7637674825174825,0.6623081296191018,0.7094286004262661,0.812329430250801,0.7876211707609504,0.8144206008583691,0.6623081296191018,0.7383643652387355,0.4836668197501948,0.17518623173236847,0.5278099775314331,0.013907457155081049,isotonic,0.41881342701014834,0.35970996216897855
LightGBM,0.7431994235272924,0.7569915254237288,0.6770892552586697,0.7148144443333,0.8097126326002956,0.7862094703888433,0.8030901287553648,0.6770892552586697,0.7400896920070172,0.4850601791656596,0.17628599194827343,0.533770765462967,0.007561711349310962,isotonic,0.41784263095738505,0.35910196361016034
CatBoost,0.7425689065033327,0.7667034178610805,0.6588971006253553,0.7087240114145944,0.8135359129951746,0.7877721570004436,0.8183690987124463,0.6588971006253553,0.7386330996689008,0.48487527196906716,0.1749202068689909,0.529417936056838,0.01468313170148441,isotonic,0.41938389479373084,0.36207440100882726
NeuralNetwork,0.7373446225905242,0.7472251308900524,0.6761417472048512,0.709908475925189,0.8081484879316754,0.7794644325115456,0.7927896995708155,0.6761417472048512,0.7344657233878333,0.473004491268772,0.1775384786906151,0.5444917740811658,0.013743157366964041,isotonic,0.4194939850677556,0.36040803458836246
