Model,ROC-AUC,Brier-Score,ECE,Latency-MS,Passed-Fairness,Utility-Score
CatBoost,0.8135359129951746,0.1749202068689909,0.01468313170148441,0.000879374527099323,NO,2.374849037387038
RandomForest,0.8121278916278513,0.17518149605565067,0.01221545777200545,0.011649383354342633,NO,2.3725527205206585
XGBoost,0.812329430250801,0.17518623173236847,0.013907457155081049,0.0015859641505837664,NO,2.3709717468132463
LightGBM,0.8097126326002956,0.17628599194827343,0.007561711349310962,0.0024737539182149828,NO,2.370907748414192
NeuralNetwork,0.8081484879316754,0.1775384786906151,0.013743157366964041,0.0007252507656311439,NO,2.3499581545349804
LogisticRegression,0.7822107436840252,0.18894614908772167,0.010324534068311126,8.674184832534208e-05,NO,2.230292934239203
